Volume,Section Number,Section Title,Path,Status,Comments
Preamble,see comment-->,,,RESOLVED: Doesn'apply to us: we renamed the document without supplement.,"In IHE, a Profile is published as a ""Supplement"" during the Public Comment and Trial Implementation phases.   Once a Profile reaches the ""Final Text"" phase, then it is integrated into the domain's Technical Framework.   "
,,Foreward,https://github.com/open-ortho/dent-oip/blob/master/source/Preamble/01_foreword.rst#foreword,DONE: Delete it,"This section is not part of the IHE Supplement Template.  You could move the content into the ""Introduction to this Supplement"" section below, if appropriate."
Preamble,,Introduction to this Supplement,https://github.com/open-ortho/dent-oip/blob/master/source/Preamble/02_scope.rst#introduction-to-this-supplement,DONE: Check & complete,"See the ""TO DO"" comment I added in the text.  This section only appears in a Supplement; i.e. the content is not published in the Final Text Technical Framework."
Preamble,,Open Issues and Questions,https://github.com/open-ortho/dent-oip/blob/master/source/Preamble/02_scope.rst#open-issues-and-questions,Check & complete,"Open Issues are used to raise topics for which you want feedback during Public Comment; often these are written in the form of a question for folks to give their opinion on.  They can also contain issues that are not resolved yet, but will be completed prior to the profile becoming Final Text.  I have added Open Issues that were raised so far. I would expect that others would be added prior to publishing the profile for Public Comment."
Preamble,,Closed Issues,https://github.com/open-ortho/dent-oip/blob/master/source/Preamble/02_scope.rst#closed-issues,Check & complete,"Closed issues are used to document issues that arose and decisions that are made during profile development.   You should add a Closed Issue about the decision made at the ADA meeting in Chicago, i.e., that the first version of this profile is intentionally limited to creation and display of Visible Light images and that future revisions will add support for other DICOM IOD used in orthodontics"
Preamble,,IHE Technical Frameworks General Introduction,https://github.com/open-ortho/dent-oip/blob/master/source/Preamble/02_scope.rst#ihe-technical-frameworks-general-introduction,Done,This is boilerplate text from the supplement template
Preamble,,Copyright Licenses,https://github.com/open-ortho/dent-oip/blob/master/source/Preamble/02_scope.rst#copyright-licenses,Done,This is boilerplate text from the supplement template
Preamble,,Trademark,https://github.com/open-ortho/dent-oip/blob/master/source/Preamble/02_scope.rst#trademark,Done,This is boilerplate text from the supplement template
Preamble,,IHE Technical Frameworks General Introduction Appendices,https://github.com/open-ortho/dent-oip/blob/master/source/Preamble/02_scope.rst#ihe-technical-frameworks-general-introduction-appendices,Done,This is boilerplate text from the supplement template
Preamble,,Appendix A - Actors,https://github.com/open-ortho/dent-oip/blob/master/source/Preamble/02_scope.rst#appendix-a---actors,Done,"Done, as long as you don't add more actors to this version of the profile."
Preamble,,Appendix B - Transactions,,ADDED,"Should be added if you decide to keep the ""Display Visible Light Images [DEN-1]"" transaction documented here: https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#31-display-visible-light-images-den-1"
Preamble,,Appendix D - Glossary,,CREATED,Only needed if you have terms in the document that you want to define for readers.  Terms you add here would be added to the general IHE Glossary published here: https://profiles.ihe.net/GeneralIntro/ch-D.html
,,Normative references,https://github.com/open-ortho/dent-oip/blob/master/source/Preamble/03_normative_references.rst#normative-references,DELETED,"This section is not part of the IHE Supplement Template.  References are included throughout the document, where appropriate"
,,Guiding Principles,https://github.com/open-ortho/dent-oip/blob/master/source/Preamble/04_requirements.rst#guiding-principles-informative,MOVED,"This section is not part of the IHE Supplement Template.  You could move the content into the ""Introduction to this Supplement"" section below, if appropriate."
1,see comment-->,,,,"Note that in Vol 1 of a Technical Framework document (eg. RAD TF-1), the first profile for the domain is in Section 3; thus OIP would be Sec 3 (Sections 1 & 2 are boilerplate TF text).   (Unless, of course, SEDI is Sec 3 for the Dental Domain, but I would assume that profile would be deprecated....???)"
1,3,Orthodontic Imaging (OIP) Profile,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/index.rst#3-orthodontic-imaging-oip-profile,DONE,"Often the text in this section is the same or similar to the text in the ""Introduction to this Supplement"" above.   This section is an overview of the profile for the reader.  Since it is in Volume 1, the text should explain the use case that this profile is trying to address."
1,3.1,"OIP Actors, Transactions, and Content Modules",https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/01_oip_actors_transactions/index.rst#31-oip-actors-transactions-and-content-modules,"DONE: R1-only scope narrowing; future/r2 preserves the other Content Creator/Consumer rows.","In Table 3.1-1, remove all of the rows for Content Creator/Consumer, except for 'VL Photographic Image IOD Definition' which is the only IOD in scope for this first revision"
1,3.1.1,Actor Description and Actor Profile Requirements,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/01_oip_actors_transactions/index.rst#311-actor-description-and-actor-profile-requirements,REVIEWED: No content change needed,
1,3.1.1.1,Content Creator,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/01_oip_actors_transactions/index.rst#3111-content-creator,"DONE: R1-only scope narrowing; future/r2 preserves the broader Content Creator description.","The current text assumes a broader array of devices; update it to describe creators that will produce VL Photographic Image IODs, since that's all that's in scope now"
1,3.1.1.2,Content Consumer,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/01_oip_actors_transactions/index.rst#3112-content-consumer,REVIEWED: No content change needed,
1,3.1.1.3,Image Display,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/01_oip_actors_transactions/index.rst#3113-image-display,DONE: Shared editorial cleanup applied to future/r2,"See ""TO DO"" in existing text."
1,3.2,OIP Profile Options,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/02_oip_integration_profile_options/index.rst#32-oip-profile-options,Update it,"1. Remove all rows for the Creator except the Direct Photography option, which is the one that applies to VL images.   Confirm that ""Direct Photography"" is a good name for the option (will it make sense to readers).   You may want to add Note 2 to the table to read something like ""We expect future revisions of the OIP profile will add options to this table to enable Content Creators to support other types of DICOM images""
2. Remove sections 3.2.2 - 3.2.6 (save them for future revision)
3. We didn't talk about this much, but I am assuming that Structured Display and Hanging Protocol are ""in scope"" for this first revision of OIP.   You need to decide whether support of this functionality is mandatory for the Image Display actor, or whether it's 'additional' functionality they *may* support as an option.  The 'option' alternative is how it is documented here today.

"
1,3.3,OIP Required Actor Groupings,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/02_oip_integration_profile_options/index.rst#33-oip-required-actor-groupings,Done,
1,x.2,OIP Profile Options (to be moved to a future version of the profile...),https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/02_oip_integration_profile_options/index.rst#x2-oip-profile-options-to-be-moved-to-a-future-version-of-the-profile,Delete it,"Save for future, including subsections.   This text was here when I started working on OI, before we decided that MWL is for a future revision."
1,3.4,Overview,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/03_oip_process_flow/index.rst#34-oip-overview,Update it,"See ""TO DO"" in existing text."
1,3.4.1,Concepts,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/03_oip_process_flow/index.rst#341-concepts,Done,
1,3.4.1.1,Orthodontic Progress (Informative),https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/03_oip_process_flow/index.rst#3411-orthodontic-progress-informative,Done,
1,3.4.1.2,Study Description,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/03_oip_process_flow/index.rst#3412-study-description-00081030,Done,
1,3.4.1.3,Image Views/Request Procedure Codes,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/03_oip_process_flow/index.rst#3413-image-viewsrequest-procedure-codes,Done,
1,3.4.2,Use Cases for Orthdontic Images,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/03_oip_process_flow/index.rst#342-use-cases-for-orthodontic-images,Done,
1,3.4.2.1,ADA TR 1065 Use Case No. 03 - Creating Digital Orthodontic Records,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/03_oip_process_flow/index.rst#3421-ada-tr-1065-use-case-no-03---creating-digital-orthodontic-records,Done,You should probably remove the note in this section that says the use case below may be out of date.   Update the use case text so it is correct.
1,3.4.2.2,ADA 1100 Use Case No. 2.1 - Routine Orthodontic Photography Workflow,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/03_oip_process_flow/index.rst#3422-ada-1100-use-case-no-21---routine-orthodontic-photography-workflow,Done,
1,3.4.2.3,ADA 1100 Use Case No. 2.2 - Referral and Image Transfer Workflow,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/03_oip_process_flow/index.rst#3423-ada-1100-use-case-no-22---referral-and-image-transfer-workflow,Done,
1,see comment-->,,,,You probably should create a use case section for VL image viewing
1,3.5,OIP Security Considerations,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/05_oip_security_considerations/index.rst#35-oip-security-considerations,Update it,"See ""TO DO"" in existing text."
1,3.6,OIP Cross-Profile Considerations,https://github.com/open-ortho/dent-oip/blob/master/source/V1_Orthodontic_Imaging_Profile/05_oip_security_considerations/index.rst#36-oip-cross-profile-considerations,Update it,"See ""TO DO"" in existing text."
2,1,Introduction to Volume 2,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#1-introduction-to-volume-2,Done (see comment),"Note that all of the text in 1 and 2 of Vol 2 below is boilerplate from the IHE template.   You could choose to omit this from your supplement for now if it is too ""IHE-heavy"" for your audience.   In that case, OIP's Vol 3 content would start with Section 3."
2,1.1,Introduction to IHE,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#11-introduction-to-ihe,Done  ,
2,1.2,Intended Audience,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#12-intended-audience,Done  ,
2,1.3,Overview of Technical Framework Volume 2,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#13-overview-of-technical-framework-volume-2,Done  ,
2,1.4,Comment Process,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#14-comment-process,Update it,"See ""TO DO"" in existing text."
2,1.5,Copyright Licenses,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#15-copyright-licenses,Done  ,
2,1.6,Trademark,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#16-trademark,Done  ,
2,1.7,Disclaimer Regarding Patent Rights,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#17-disclaimer-regarding-patent-rights,Done  ,
2,1.8,History of Document Changes,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#16-history-of-document-changes,Update it,Note that I mistakenly marked this as Sec 1.6
2,2,Conventions,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#2-conventions,Done  ,
2,2.1,Transaction Modeling and Profile Conventions,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#21-transaction-modeling-and-profile-conventions,Done  ,
2,2.2,Use of Coded Entities and Coding Schemes,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#22-use-of-coded-entities-and-coding-schemes,Done  ,
2,3,IHE Dental Transactions,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#3-ihe-dental-transactions,Done,
2,3.1,Display Visible Light Images [DEN-1],https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#31-display-visible-light-images-den-1,Done,
2,3.1.1,Scope,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#311-scope,Check & complete,"Remove the ""Note to Toni"" in the text"
2,3.1.2,Actor Roles,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#312-actor-roles,Done  ,
2,3.1.3,Referenced Standards,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#313-referenced-standards,Done  ,It would be nice to add a direct link to 1100
2,3.1.4,Messages,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#314-messages,Done  ,
2,3.1.4.1,Display Results,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#3141-display-results,Done  ,
2,3.1.4.1.1,Trigger Events,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#31411-trigger-events,Done  ,
2,3.1.4.1.2,Message Semantics,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#31412-message-semantics,Done  ,
2,3.1.4.1.3,"Expected Actions (i.e., Display Requirements)",https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#31413-expected-actions-ie-display-requirements,Done  ,
2,3.1.4.1.3.1,General Display Requirements ,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#31413-expected-actions-ie-display-requirements,Check & complete,
2,3.1.4.1.3.2,Viewset VS-01,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#31413-expected-actions-ie-display-requirements,Done  ,"Note that ""Done"" here assumes that the requirements as documented in 1100 are sufficient for a developer to implement and do not need to be elaborated or clarified here in the OIP profile"
2,3.1.4.1.3.3,Viewset VS-02,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#31413-expected-actions-ie-display-requirements,Done  ,"Note that ""Done"" here assumes that the requirements as documented in 1100 are sufficient for a developer to implement and do not need to be elaborated or clarified here in the OIP profile"
2,3.1.4.1.3.4,Viewset VS-03 ,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#31413-expected-actions-ie-display-requirements,Done  ,"Note that ""Done"" here assumes that the requirements as documented in 1100 are sufficient for a developer to implement and do not need to be elaborated or clarified here in the OIP profile"
2,3.1.4.1.3.5,Viewset VS-04 ,https://github.com/open-ortho/dent-oip/blob/master/source/V2_Transactions/index.rst#31413-expected-actions-ie-display-requirements,Done  ,"Note that ""Done"" here assumes that the requirements as documented in 1100 are sufficient for a developer to implement and do not need to be elaborated or clarified here in the OIP profile"
2,3.1.4.1.3.6,Structured Display Option,,Not started,"If you decide to keep this option for the Image Display, then this section would enumerate the required behavior for the Display actor that supports the option.  I suspect this would require some consultation with clinical experts that would be reviewing images displayed using the Structured Display IOD to determine what they want.   It may be ""just display the images as it is defined in the Structured Display IOD"", but I suspect it may be more than that."
2,3.1.4.1.3.6,Hanging Protocol Option,,Not started,"If you decide to keep this option for the Image Display, then this section would enumerate the required behavior for the Display actor that supports the option.  I suspect this would require some consultation with clinical experts that would be reviewing images displayed using the Structured Display IOD to determine what they want.   It may be ""just display the images as it is defined in the Hanging Protocolk IOD"", but I suspect it may be more than that."
3,see comment-->,,,,"Unlike Vol 2 above, I have not included all of the boilerplate introductory sections for Vol 3.   Thus, the first section below is 7, which is where DICOM content lives in Vol 3 of the TF."
3,7,DICOM Conventions,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/01_Conventions/index.rst#7-dicom-conventions,Done,
3,7.1,Conventions for DICOM Storage-based Transactions and Content Definitions,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/01_Conventions/index.rst#71-conventions-for-dicom-storage-based-transactions-and-content-definitions,Done,
3,7.2,DICOM Coded Values,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#72--dicom-coded-values,See comment-->,"We did not get around to discussing this...  By IHE convention, coded values that are used in IHE profiles are gathered in Vol 3 in a section like this.   Then, when the coded values are used in a content definition, a reference is added to the relevant coded section.    When DICOM code tables are used unchanged, you can reference DICOM directly rather than copy them into your profile.   For public comment, at least, it is probably helpful to your audience to have the codes directly in the document rather than having them use a link into DICOM"
3,7.2.1,CID 4028 - Craniofacial Anatomic Region,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#721-cid-4028---craniofacial-anatomic-region,Done,
3,7.2.2,CID 247 - Laterality Left-Right Only,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#722-cid-247---laterality-left-right-only,Done,
3,7.2.3,CID 244 - Laterality,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#723-cid-244---laterality,Done,
3,7.2.3.1,Choosing the Correct Laterality,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#7231-choosing-the-correct-laterality,Done,
3,7.2.3,(I misnumbered and skipped this section),,,
3,7.2.4,CID 4061 - Head and/or Neck Primary Anatomic Structure,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#724-cid-4061---head-andor-neck-primary-anatomic-structure,Done,
3,7.2.5,Patient Orientation,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#725-patient-orientation,Done,
3,7.2.5.1,Specifying the Correct Patient Orientation,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#7251-specifying-the-correct-patient-orientation,Done,
3,7.2.6,Orthognathic Functional Conditions,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#726-orthognathic-functional-conditions,Done,
3,7.2.7,Orthodontic Finding by Inspection,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#727-orthodontic-finding-by-inspection,Done,
3,7.2.8,Orthodontic Observable Entity,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#728-orthodontic-observable-entity,Done,
3,7.2.9,Dental Occlusion,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#729-dental-occlusion,Done,
3,7.2.10,Longitudinal Temporal Event Type,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/02_General_Definitions/index.rst#7210-longitudinal-temporal-event-type,Check & complete,See 'question for Toni' in the text
3,7.3,IOD Definitions,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/03_VL_Photographic_Image_IOD_Definitions/index.rst#73-iod-definitions,Update it,I added  links to all of the IODs that were originally in scope.   Update the list to only include the link to the VL Photographic Image IOD
3,7.3.1,VL Photographic Image IOD Definition,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/03_VL_Photographic_Image_IOD_Definitions/index.rst#731-vl-photographic-image-iod-definition,Check & complete,Check to ensure the links are correct.
3,7.3.1.1,VL Photographic Image IOD Acquisition Requirements,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/03_VL_Photographic_Image_IOD_Definitions/index.rst#7311-vl-photographic-image-iod-acquisition-requirements,Check & complete,
3,7.3.1 - 7.3.6,,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/03_VL_Photographic_Image_IOD_Definitions/index.rst#732-video-photograpic-image-iod-definition,Delete it,These sections contain the IOD definitions for all of the DICOM image types that are deferred to a future revision of OIP.  Save for later.
3,7.3.7,Structured Display IOD Definition,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/03_VL_Photographic_Image_IOD_Definitions/index.rst#737-structured-display-iod-definition,Done,"If you decide Structured Display is part of this revision of the profile, you would keep this section.   Perhaps renumber it to follow the VL image section."
3,7.3.8,Hanging Protocol IOD Definition,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/03_VL_Photographic_Image_IOD_Definitions/index.rst#738-hanging-protocol-iod-definition,Done,Keep if Hanging Protocol is in scope for the Image Display
3,7.4,Module Definitions,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/04_Module_Definitions/index.rst#74-module-definitions,Done,We never reviewed together the constraints I have document in 7.4 and subsections.   These are requirements I gleaned from various sources you provided.   Confirm that they are accurate and complete.
3,7.4.1,General (Common) Module Constraints,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/04_Module_Definitions/index.rst#741-general-common-module-constraints,Done,
3,7.4.1.1,Patient Module,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/04_Module_Definitions/index.rst#7411-patient-module,Done,
3,7.4.1.2,General Study Module,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/04_Module_Definitions/index.rst#7412-general-study-module,Done,
3,7.4.1.3,Patient Study Module,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/04_Module_Definitions/index.rst#7413-patient-study-module,Update it,Move Section 7.4.1.3.1 to beneath the table.
3,7.4.1.4,General Series Module,https://github.com/open-ortho/dent-oip/blob/master/source/V3_07_DICOM/04_Module_Definitions/index.rst#7414-general-series-module,Update it,"Remove all values in Col 4 of the table except ""XC"""
3,7.4.1.5,General Equipment Module,https://github.com/open-ortho/dent-oip/tree/master/source/V3_07_DICOM/04_Module_Definitions#7415-general-equipment-module,Done,
3,7.4.1.6,Acquisition Context Module,,Not started,Add constraints for this module that apply to VL IODs
3,7.4.1.7,General Image Module,,Not started,Add constraints for this module that apply to VL IODs
3,7.4.1.8,Device Module,,Not started,Add constraints for this module that apply to VL IODs
3,7.4.1.9,SOP Common Module,,Not started,Add constraints for this module that apply to VL IODs
3,7.4.2,VL-Related Modules,,Not started,This is just an intro section
3,7.4.2.1,VL Image Module,,Not started,Add constraints for this module that apply to VL IODs
3,7.4.2.2,VL Photographic Acquisition,,Not started,Add constraints for this module that apply to VL IODs
3,see comment-->,,https://github.com/open-ortho/dent-oip/tree/master/source/V3_Appendix,,You had lots of good content that could live in appendices to Vol 3.   I never touched those files.   You can decide what is relevant and valuable to the reader and include them as appendics to Vol 3 (or perhaps Vol 1)
