view_name,PatientOrientation,ImageLaterality,AnatomicRegionSequence,AnatomicRegionModifierSequence,PrimaryAnatomicStructureSequence,PrimaryAnatomicStructureModifierSequence,DeviceSequence,AcquisitionContextSequence^ImageView,AcquisitionContextSequence^ImageViewModifier,AcquisitionContextSequence^FunctionalConditionPresentDuringAcquisition,ImageComments,StudyDescription,SeriesDescription,teeth_example
,"(0020,0020)","(0020,0062)","(0008,2218)","(0008,2220)","(0008,2228)","(0008,2230)","(0050,0010)","(0040,0555)","(0040,0555)","(0040,0555)","(0020,4000)","(0008,1030)","(0008,103E)",
IV-01,o_right,l_unpaired,head,mouth,oral_cavity,buccal,na,right_projection,direct,co,"Intraoral Right Buccal Segment, Centric Occlusion, Direct View",<Progress Name>,Orthodontic Intraoral Series,54^55^16^84^85^46
IV-02,o_left,l_unpaired,head,mouth,oral_cavity,buccal,mirror,right_projection,mirror_uncorrected,co,"Intraoral Right Buccal Segment - Centric Occlusion, With Mirror",<Progress Name>,Orthodontic Intraoral Series,14^15^16^17^18^44^45^46^47^48
IV-03,o_right,l_unpaired,head,mouth,oral_cavity,buccal,mirror,right_projection,mirror_corrected,co,"Intraoral Right Buccal Segment - Centric Occlusion, With Mirror But Corrected",<Progress Name>,Orthodontic Intraoral Series,14^15^16^17^18^44^45^46^47^48
IV-04,o_right,l_unpaired,head,mouth,oral_cavity,buccal,na,right_projection,direct,cr,"Intraoral Right Buccal Segment - Centric Relation, Without Mirror",<Progress Name>,Orthodontic Intraoral Series,54^55^16^84^85^46
IV-05,o_left,l_unpaired,head,mouth,oral_cavity,buccal,mirror,right_projection,mirror_uncorrected,cr,"Intraoral Right Buccal Segment - Centric Relation, With Mirror",<Progress Name>,Orthodontic Intraoral Series,14^15^16^17^18^44^45^46^47^48
IV-06,o_right,l_unpaired,head,mouth,oral_cavity,buccal,mirror,right_projection,mirror_corrected,cr,"Intraoral Right Buccal Segment - Centric Relation, With Mirror But Corrected",<Progress Name>,Orthodontic Intraoral Series,54^55^84^85
IV-07,o_front,l_unpaired,head,mouth,oral_cavity,na,na,frontal,direct,co,"Intraoral Frontal View - Centric Occlusion, Without Mirror",<Progress Name>,Orthodontic Intraoral Series,51^52^53^61^62^63^71^72^73^81^82^83
IV-08,o_front,l_unpaired,head,mouth,oral_cavity,na,na,frontal,direct,cr,"Intraoral Frontal View - Centric Relation, Without Mirror",<Progress Name>,Orthodontic Intraoral Series,11^12^13^21^22^23^31^32^33^41^42^43
IV-09,o_front,l_unpaired,head,mouth,oral_cavity,na,na,frontal,direct,teeth_apart,"Intraoral Frontal View - Teeth Apart, Without Mirror",<Progress Name>,Orthodontic Intraoral Series,11^12^53^21^22^63^31^32^73^41^42^83
IV-10,o_front,l_unpaired,head,mouth,oral_cavity,na,na,frontal,direct,mouth_open,"Intraoral Frontal View - Mouth Open, Without Mirror",<Progress Name>,Orthodontic Intraoral Series,11^12^13^21^22^23^31^32^33^41^42^43
IV-11,o_front,l_unpaired,head,mouth,oral_cavity,na,na,frontal,direct,co,"Intraoral Frontal View Inferior (showing depth of bite and overjet) - Centric Occlusion, Without Mirror",<Progress Name>,Orthodontic Intraoral Series,51^52^53^61^62^63^71^72^73^81^82^83
IV-12,o_front,l_unpaired,head,mouth,oral_cavity,na,na,frontal,direct,cr,"Intraoral Frontal View Inferior (showing depth of bite and overjet) - Centric Relation, Without Mirror",<Progress Name>,Orthodontic Intraoral Series,11^12^53^21^22^63^31^32^73^41^42^83
